Point,Corner,mc_iteration,Pass/Fail,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126,E127
1,nom,1,,800e-3,70.79e-9,800e-3,-14.87e-9,800e-3,800e-3,800e-3,87.87e-9,-420.2e-9,800e-3,63.4e-9,70.8e-9,11.36e-9,800e-3,7.895e-9,74.17e-9,71.29e-9,98.98e-9,110.4e-9,800e-3,800e-3,800e-3,205.4e-9,-243.6e-9,125.1e-9,800e-3,800e-3,800e-3,64.61e-9,88.98e-9,800e-3,800e-3,51.39e-9,36.02e-9,60.58e-9,800e-3,800e-3,54.87e-9,61.76e-9,800e-3,800e-3,800e-3,61.16e-9,800e-3,800e-3,800e-3,71.88e-9,800e-3,79.68e-9,800e-3,89.75e-9,800e-3,800e-3,800e-3,800e-3,800e-3,55.04e-9,75.18e-9,800e-3,800e-3,800e-3,55.76e-9,800e-3,46.73e-9,800e-3,-41.59e-9,800e-3,800e-3,800e-3,800e-3,1.254e-9,60.4e-9,101e-9,800e-3,119.1e-9,54.32e-9,52.8e-9,49.64e-9,800e-3,47.72e-9,82.7e-9,85.52e-9,800e-3,55.6e-9,50.91e-9,78.97e-9,800e-3,41.05e-9,44.33e-9,800e-3,106.7e-9,37.15e-9,100.7e-9,800e-3,800e-3,800e-3,81.49e-9,96.45e-9,79.72e-9,800e-3,209.6e-9,800e-3,800e-3,53.61e-9,63.35e-9,800e-3,800e-3,800e-3,800e-3,95.71e-9,152.4e-9,183e-9,800e-3,800e-3,800e-3,800e-3,54.46e-9,93.75e-9,800e-3,800e-3,77.02e-9,800e-3,99.52e-9,75.81e-9,800e-3,800e-3,44.28e-9,800e-3
2,nom,2,,800e-3,800e-3,800e-3,800e-3,73.75e-9,800e-3,69.9e-9,65.89e-9,83.23e-9,64.71e-9,121.3e-9,800e-3,800e-3,31.34e-9,800e-3,107.9e-9,61.22e-9,800e-3,800e-3,75.65e-9,50.33e-9,800e-3,800e-3,53.56e-9,65.25e-9,800e-3,800e-3,800e-3,72.11e-9,800e-3,800e-3,66.39e-9,58.01e-9,800e-3,800e-3,53.71e-9,105.3e-9,61.78e-9,73.37e-9,800e-3,800e-3,56.34e-9,800e-3,135.9e-9,75.23e-9,56.79e-9,800e-3,169.2e-9,52.4e-9,-81.24e-9,800e-3,800e-3,800e-3,51.67e-9,71.34e-9,800e-3,52.4e-9,800e-3,76.31e-9,800e-3,45.01e-9,800e-3,62.46e-9,800e-3,51.54e-9,60.92e-9,52.33e-9,800e-3,47.64e-9,80.27e-9,800e-3,71.01e-9,800e-3,800e-3,118.3e-9,66.53e-9,800e-3,61.62e-9,50.24e-9,55.76e-9,67.21e-9,800e-3,800e-3,800e-3,800e-3,46.66e-9,800e-3,66.88e-9,800e-3,72.96e-9,800e-3,800e-3,202.6e-9,800e-3,75.6e-9,52.74e-9,800e-3,800e-3,59.99e-9,37.26e-9,800e-3,800e-3,800e-3,65.74e-9,102e-9,800e-3,800e-3,48.66e-9,83.83e-9,800e-3,58.45e-9,51.09e-9,800e-3,800e-3,92.41e-9,800e-3,800e-3,52.17e-9,800e-3,68.92e-9,132.4e-9,77.49e-9,69.15e-9,800e-3,44.61e-9,800e-3,74.97e-9,329.9e-9
3,nom,3,,56.69e-9,800e-3,800e-3,66.65e-9,51.89e-9,800e-3,800e-3,800e-3,57.09e-9,107.6e-9,800e-3,800e-3,55.21e-9,64.19e-9,75.15e-9,64.71e-9,800e-3,68.21e-9,90.33e-9,62.55e-9,800e-3,57.06e-9,800e-3,800e-3,49.83e-9,-1.588e-9,800e-3,800e-3,82.89e-9,800e-3,150.3e-9,800e-3,800e-3,800e-3,800e-3,129.1e-9,56.62e-9,-120.3e-9,51.44e-9,800e-3,800e-3,800e-3,800e-3,-9.47e-9,800e-3,49.34e-9,31.19e-9,80.72e-9,800e-3,61.54e-9,69.47e-9,800e-3,800e-3,800e-3,800e-3,51.04e-9,800e-3,126.3e-9,800e-3,800e-3,800e-3,50.35e-9,46.47e-9,59.8e-9,800e-3,881e-9,113.1e-9,51.34e-9,66.67e-9,-39.01e-9,800e-3,800e-3,22.21e-9,800e-3,800e-3,48.93e-9,98.35e-9,800e-3,71.31e-9,800e-3,92.35e-9,800e-3,72.92e-9,800e-3,77.98e-9,800e-3,800e-3,800e-3,800e-3,-106.4e-9,800e-3,48.49e-9,19.75e-9,51.78e-9,52.21e-9,800e-3,61.79e-9,50.81e-9,800e-3,68.1e-9,61.51e-9,57.54e-9,52.01e-9,800e-3,800e-3,1.062e-6,62.34e-9,800e-3,800e-3,800e-3,800e-3,73.37e-9,118.8e-9,800e-3,800e-3,44.14e-9,800e-3,800e-3,79.82e-9,116.3e-9,800e-3,75.68e-9,153.1e-9,-30.52e-9,60.97e-9,800e-3,800e-3,800e-3
4,nom,4,,800e-3,40.94e-9,43.64e-9,54.25e-9,68.47e-9,64e-9,800e-3,800e-3,800e-3,800e-3,800e-3,89.43e-9,71.55e-9,59.69e-9,800e-3,800e-3,800e-3,42.12e-9,800e-3,800e-3,800e-3,800e-3,800e-3,56.64e-9,800e-3,65.32e-9,98.11e-9,33.69e-9,63.5e-9,800e-3,800e-3,800e-3,800e-3,73.29e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,84.23e-9,800e-3,800e-3,800e-3,800e-3,77.82e-9,800e-3,800e-3,58.28e-9,800e-3,58.85e-9,800e-3,800e-3,800e-3,800e-3,800e-3,91.13e-9,800e-3,800e-3,800e-3,800e-3,75.94e-9,800e-3,800e-3,800e-3,800e-3,53.86e-9,800e-3,800e-3,800e-3,65.21e-9,48.72e-9,62.27e-9,800e-3,52.98e-9,800e-3,800e-3,61.6e-9,800e-3,66.19e-9,800e-3,53.79e-9,800e-3,800e-3,57.27e-9,51.19e-9,800e-3,800e-3,800e-3,73.64e-9,42.16e-9,57.49e-9,800e-3,82.22e-9,56.43e-9,800e-3,800e-3,800e-3,800e-3,44.56e-9,800e-3,49.9e-9,104.1e-9,800e-3,800e-3,800e-3,-49.02e-9,800e-3,800e-3,56e-9,800e-3,56.52e-9,50.82e-9,67.22e-9,800e-3,54.13e-9,35.24e-9,86.37e-9,800e-3,56.37e-9,800e-3,68.81e-9,67.63e-9,800e-3,800e-3
5,nom,5,,-14.93e-9,-50.28e-9,800e-3,75e-9,800e-3,50.3e-9,800e-3,54.6e-9,800e-3,70.95e-9,68.95e-9,41.23e-9,800e-3,81.32e-9,56.18e-9,49.12e-9,45.72e-9,-28.07e-9,69.99e-9,40.43e-9,44.5e-9,43.2e-9,800e-3,68.36e-9,800e-3,57.96e-9,800e-3,95.62e-9,800e-3,800e-3,800e-3,800e-3,51.08e-9,46.38e-9,52.17e-9,47.91e-9,324.3e-9,800e-3,800e-3,800e-3,55.15e-9,800e-3,800e-3,5.392e-9,58.06e-9,51.1e-9,68.97e-9,800e-3,55.51e-9,61.14e-9,800e-3,800e-3,800e-3,90.03e-9,800e-3,800e-3,-15.6e-9,800e-3,800e-3,60.28e-9,48.53e-9,800e-3,90.96e-9,279.8e-9,800e-3,50.68e-9,800e-3,78.54e-9,128.1e-9,800e-3,800e-3,261.9e-9,800e-3,42.81e-9,800e-3,800e-3,84.19e-9,800e-3,75.2e-9,800e-3,800e-3,55.91e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,54.85e-9,68.15e-9,800e-3,53.16e-9,800e-3,800e-3,72.82e-9,49.54e-9,57.1e-9,800e-3,800e-3,72.99e-9,44.55e-9,48.62e-9,800e-3,57.88e-9,59.23e-9,60.97e-9,105.4e-9,70.37e-9,800e-3,63.1e-9,800e-3,55.05e-9,800e-3,800e-3,800e-3,800e-3,800e-3,52.54e-9,800e-3,800e-3,800e-3,51.86e-9,800e-3,87.19e-9,800e-3,105.3e-9,59.24e-9,65.1e-9
6,nom,6,,800e-3,800e-3,800e-3,-2.779e-6,800e-3,41.14e-9,800e-3,65.47e-9,800e-3,800e-3,-651.7e-9,20.15e-9,800e-3,51.27e-9,800e-3,800e-3,55.49e-9,800e-3,800e-3,800e-3,800e-3,69.98e-9,61.87e-9,800e-3,800e-3,800e-3,800e-3,800e-3,377.1e-9,800e-3,76.28e-9,96.09e-9,800e-3,56.91e-9,800e-3,54.25e-9,72.2e-9,48.19e-9,800e-3,197.7e-9,800e-3,110.3e-9,800e-3,800e-3,800e-3,79.03e-9,800e-3,75.9e-9,800e-3,800e-3,800e-3,40.62e-9,30.89e-9,800e-3,800e-3,41.07e-9,80.66e-9,800e-3,800e-3,800e-3,57.32e-9,-87.96e-9,48.73e-9,800e-3,800e-3,60.53e-9,45.92e-9,800e-3,73.07e-9,800e-3,205.3e-9,800e-3,101.9e-9,87.45e-9,800e-3,800e-3,46.82e-9,41.48e-9,800e-3,50.76e-9,69.79e-9,73.6e-9,800e-3,59.71e-9,800e-3,800e-3,77.96e-9,-27.72e-9,800e-3,800e-3,62.52e-9,800e-3,66.4e-9,60.9e-9,800e-3,135.9e-9,76.33e-9,64.82e-9,-26.58e-9,800e-3,80.15e-9,66.5e-9,44.65e-9,25.28e-9,32.44e-9,800e-3,800e-3,800e-3,800e-3,800e-3,57.2e-9,55.64e-9,64.36e-9,64.69e-9,800e-3,800e-3,5.982e-9,800e-3,54.75e-9,-621.3e-9,800e-3,800e-3,42.66e-9,69.08e-9,144.1e-9,800e-3,52.96e-9,50.95e-9
7,nom,7,,68.44e-9,58.34e-9,800e-3,800e-3,64.29e-9,800e-3,800e-3,800e-3,800e-3,64.37e-9,111.5e-9,800e-3,181.4e-9,800e-3,50.26e-9,56.05e-9,800e-3,55.48e-9,800e-3,84.9e-9,800e-3,800e-3,97.19e-9,44.83e-9,58.46e-9,79.97e-9,43.08e-9,800e-3,800e-3,53.77e-9,54.86e-9,800e-3,800e-3,800e-3,65.03e-9,800e-3,800e-3,800e-3,800e-3,800e-3,62.31e-9,49.41e-9,55.39e-9,32.94e-9,50.92e-9,800e-3,800e-3,56.64e-9,-233.5e-9,50.64e-9,152.5e-9,65.34e-9,72.24e-9,800e-3,82.83e-9,-7.586e-9,800e-3,56.92e-9,59.97e-9,63.45e-9,800e-3,34.27e-9,800e-3,800e-3,800e-3,800e-3,63.76e-9,55.17e-9,51.78e-9,800e-3,53.69e-9,800e-3,48.58e-9,800e-3,800e-3,800e-3,77.42e-9,800e-3,66.76e-9,800e-3,25.79e-9,800e-3,57.49e-9,800e-3,800e-3,74.01e-9,57.83e-9,49.5e-9,800e-3,81.36e-9,800e-3,-15.48e-9,800e-3,800e-3,26.2e-9,800e-3,97.57e-9,800e-3,342e-9,800e-3,800e-3,16.08e-9,800e-3,33.75e-9,41.21e-9,80.13e-9,800e-3,-93.17e-9,143.7e-9,-821.5e-9,84.82e-9,800e-3,800e-3,30.67e-9,644.5e-9,58.99e-9,800e-3,63.3e-9,800e-3,800e-3,800e-3,95.81e-9,64.1e-9,800e-3,800e-3,66.83e-9,800e-3,68.31e-9
8,nom,8,,35.17e-9,71.25e-9,800e-3,65.75e-9,800e-3,37.56e-9,800e-3,800e-3,800e-3,53.8e-9,800e-3,143.8e-9,800e-3,800e-3,61.07e-9,51.2e-9,82.56e-9,53.23e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,54.23e-9,800e-3,49.31e-9,800e-3,111.6e-9,53.28e-9,30.35e-9,800e-3,59.16e-9,55.64e-9,800e-3,800e-3,800e-3,91.42e-9,50.71e-9,800e-3,662.2e-9,58.43e-9,67.68e-9,800e-3,800e-3,800e-3,800e-3,82.46e-9,800e-3,86.84e-9,800e-3,800e-3,62.74e-9,800e-3,69.2e-9,51.36e-9,58.19e-9,58.1e-9,96.24e-9,113.2e-9,800e-3,800e-3,67.72e-9,53.46e-9,800e-3,76.62e-9,82.49e-9,59.82e-9,13.68e-9,800e-3,800e-3,800e-3,65.79e-9,106.8e-9,73.45e-9,800e-3,800e-3,800e-3,75.98e-9,53.41e-9,800e-3,35.94e-9,800e-3,800e-3,131.6e-9,800e-3,800e-3,47.47e-9,-7.669e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,44.13e-9,800e-3,800e-3,800e-3,800e-3,81.84e-9,800e-3,50.14e-9,800e-3,800e-3,61.75e-9,800e-3,800e-3,50.51e-9,800e-3,114.8e-9,77.16e-9,77.84e-9,65.45e-9,800e-3,800e-3,55.73e-9,53.89e-9,800e-3,108.4e-9,38.32e-9,800e-3,800e-3,57.51e-9,800e-3,63.71e-9,71e-9
9,nom,9,,800e-3,54.1e-9,49.21e-9,70.8e-9,800e-3,44.89e-9,55.21e-9,800e-3,56.89e-9,800e-3,800e-3,800e-3,50.62e-9,83.99e-9,800e-3,800e-3,800e-3,800e-3,55.25e-9,54.41e-9,70.49e-9,115.6e-9,20.28e-9,800e-3,72.09e-9,92.19e-9,800e-3,59.85e-9,800e-3,800e-3,800e-3,74.41e-9,800e-3,800e-3,50.44e-9,63.08e-9,55.4e-9,61.4e-9,54.45e-9,57.19e-9,18.47e-9,800e-3,800e-3,800e-3,800e-3,800e-3,52.48e-9,800e-3,71.93e-9,800e-3,55.93e-9,800e-3,800e-3,41.05e-9,50.14e-9,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,800e-3,15.29e-9,800e-3,800e-3,800e-3,61.95e-9,76.14e-9,71.38e-9,800e-3,49.63e-9,800e-3,92.12e-9,800e-3,35.49e-9,58.41e-9,800e-3,800e-3,68.29e-9,59.66e-9,68.32e-9,75.1e-9,62.62e-9,48.21e-9,800e-3,800e-3,62.1e-9,800e-3,61e-9,800e-3,44.16e-9,800e-3,59.49e-9,53.15e-9,800e-3,49.29e-9,-134.3e-9,800e-3,800e-3,270.7e-9,800e-3,65.48e-9,75.28e-9,48.45e-9,88.69e-9,77.18e-9,65.01e-9,800e-3,800e-3,800e-3,800e-3,39.79e-9,800e-3,93.98e-9,800e-3,800e-3,120.1e-9,50.99e-9,800e-3,55.79e-9,75.67e-9,800e-3,50.75e-9,800e-3,800e-3
10,nom,10,,49.96e-9,142.1e-9,81.9e-9,800e-3,77.12e-9,56.15e-9,-21.86e-9,59.48e-9,-12.75e-9,85.83e-9,800e-3,800e-3,800e-3,49.48e-9,800e-3,60.35e-9,43.49e-9,800e-3,800e-3,800e-3,800e-3,800e-3,54.33e-9,800e-3,800e-3,68.56e-9,800e-3,69.18e-9,-101.8e-9,-290.2e-9,800e-3,800e-3,66.48e-9,62.51e-9,800e-3,49.99e-9,60.96e-9,800e-3,-167.5e-9,800e-3,47.46e-9,800e-3,800e-3,800e-3,3.436e-9,51.24e-9,800e-3,800e-3,65.11e-9,155.6e-9,48.54e-9,175.6e-9,800e-3,75.73e-9,800e-3,61.92e-9,800e-3,33.23e-9,44.19e-9,43.62e-9,45.27e-9,800e-3,800e-3,63.61e-9,800e-3,1.048e-6,800e-3,800e-3,54.58e-9,69.65e-9,800e-3,800e-3,77.34e-9,800e-3,-22.16e-9,800e-3,50.67e-9,166.1e-9,800e-3,800e-3,59.85e-9,74e-9,800e-3,800e-3,44.03e-9,800e-3,800e-3,76.92e-9,95.51e-9,800e-3,123.7e-9,800e-3,59.19e-9,33.92e-9,122.1e-9,800e-3,800e-3,53e-9,119.4e-9,53.11e-9,51.36e-9,800e-3,800e-3,55.78e-9,69.36e-9,800e-3,58.45e-9,65.63e-9,800e-3,185.3e-9,85.55e-9,-71.26e-9,51.06e-9,125e-9,800e-3,51.71e-9,73.16e-9,800e-3,53.12e-9,53.13e-9,1.328e-6,148.2e-9,64.98e-9,18.36e-9,800e-3,800e-3,800e-3,69.03e-9
