Test,Output,Nominal,Spec,Weight,Pass/Fail
yg9bq_DDPUF_128_mc_1,E0_iter0,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter1,800e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter2,800.3e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter3,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter4,800e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter5,800e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter6,800.3e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter7,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter8,800e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter9,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter10,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter11,800.3e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter12,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter13,799.6e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter14,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter15,800e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter16,800.5e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter17,800e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter18,800e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter19,800e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter20,800e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter21,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter22,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter23,799.7e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter24,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter25,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter26,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter27,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter28,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E0_iter29,800.1e-3,,,
