mc,maj,stability,strict,ber,cnt_mode,cnt_mean,cnt_median,cnt_max,cnt_frac_ge3
1,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
2,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
5,1.0,0.97,0.0,0.03,2.0,2.166,2.0,6.0,0.13
6,1.0,1.0,1.0,0.0,1.0,1.018,1.0,7.0,0.004
7,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
8,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
9,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
10,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
11,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
12,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
13,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
14,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
15,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
16,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
17,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
18,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
19,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
20,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
21,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
22,1.0,1.0,1.0,0.0,2.0,1.74,2.0,7.0,0.024
23,0.0,1.0,1.0,0.0,2.0,2.006,2.0,4.0,0.004
24,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
25,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
26,0.0,1.0,1.0,0.0,2.0,2.01,2.0,7.0,0.002
27,0.0,1.0,1.0,0.0,2.0,2.002,2.0,3.0,0.002
28,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
29,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
30,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
31,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
32,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
33,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
34,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
35,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
36,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
37,1.0,1.0,1.0,0.0,2.0,2.092,2.0,3.0,0.092
38,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
39,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
40,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
41,0.0,1.0,1.0,0.0,2.0,2.038,2.0,3.0,0.038
42,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
43,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
44,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
45,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
